,AM15_G_wav,wavelength,Energy,N_Photons,Jsc_int
1760,3.6205e-16,2795.0,0.44364937388193204,3213.2952756096147,0.06676516682009552
1761,1.6484e-12,2800.0,0.44285714285714284,14708668.054110305,0.06676516682009645
1762,6.7478e-14,2805.0,0.44206773618538325,605337.3144896064,0.06676516682009741
1763,4.0233e-10,2810.0,0.4412811387900356,3628591041.042046,0.06676516682032578
1764,2.8685e-10,2815.0,0.4404973357015986,2600918230.7730994,0.0667651668207164
1765,2.0548e-11,2820.0,0.4397163120567376,187306793.40530697,0.0667651668208906
1766,1.7605e-07,2825.0,0.4389380530973451,1613347917729.4363,0.06676516692135047
1767,3.9008e-06,2830.0,0.4381625441696113,35937646921175.85,0.066765169251041
1768,2.1276e-10,2835.0,0.43738977072310403,1970542555.9658723,0.06676517147289558
1769,1.9609e-07,2840.0,0.43661971830985913,1825774401404.7869,0.06676517158549233
1770,4.0575e-05,2845.0,0.4358523725834798,379788655269118.6,0.06676519501190847
1771,1.1566e-06,2850.0,0.43508771929824563,10883144988537.332,0.06676521891018651
1772,4.4867e-07,2855.0,0.4343257443082312,4244064899913.5225,0.06676521983231097
1773,2.5356e-05,2860.0,0.43356643356643354,241110147931841.9,0.06676523473631811
1774,0.00016763,2865.0,0.4328097731239092,1602368028131808.8,0.06676534632727911
1775,6.3129e-06,2870.0,0.43205574912891986,60661234898827.73,0.0667654466443966
1776,0.0003917,2875.0,0.43130434782608695,3783587357504187.0,0.06676567773026866
1777,0.00024724,2880.0,0.4305555555555556,2400672099895941.0,0.06676604818832312
1778,0.00045332,2885.0,0.42980935875216636,4424650579614741.5,0.06676645563104036
1779,0.00018623,2890.0,0.4290657439446367,1827173628898120.8,0.0667668275469648
1780,0.0026643,2895.0,0.4283246977547496,2.6276376498769384e+16,0.06676849362926435
1781,0.00081152,2900.0,0.42758620689655175,8045070759625392.0,0.06677052131526758
1782,0.00011096,2905.0,0.4268502581755594,1105710682097912.4,0.06677106007573944
1783,0.002722,2910.0,0.4261168384879725,2.7264889056809324e+16,0.06677272468025121
1784,0.0012581,2915.0,0.42538593481989706,1.2666816719984678e+16,0.06677505957866918
1785,0.0028948,2920.0,0.4246575342465753,2.929569228928201e+16,0.06677750481991881
1786,0.0010835,2925.0,0.4239316239316239,1.102156265687496e+16,0.06677984615681769
1787,0.0058858,2930.0,0.4232081911262799,6.017900581693873e+16,0.06678396686297715
1788,0.0064903,2935.0,0.42248722316865417,6.66999848623108e+16,0.06679128491791919
1789,0.0016273,2940.0,0.4217687074829932,1.6809169738228404e+16,0.06679608512891734
1790,0.0014489,2945.0,0.42105263157894735,1.5042878813476566e+16,0.06679790980767432
1791,0.0052276,2950.0,0.42033898305084744,5.455129241594043e+16,0.0668018830699033
1792,0.0023361,2955.0,0.4196277495769882,2.450194338798594e+16,0.06680638109450494
1793,0.0045971,2960.0,0.4189189189189189,4.846137488033299e+16,0.0668105185854572
1794,0.0074379,2965.0,0.418212478920742,7.880632497379744e+16,0.06681771114494943
1795,0.00035233,2970.0,0.4175084175084175,3751937703275397.0,0.06682236123191099
1796,0.00085429,2975.0,0.41680672268907565,9143298111898718.0,0.06682308511352425
1797,0.0013381,2980.0,0.4161073825503356,1.4393751810939128e+16,0.06682440194582494
1798,0.0069628,2985.0,0.4154103852596315,7.527548702952248e+16,0.06682940188314744
1799,0.01028,2990.0,0.41471571906354515,1.1169746753056714e+17,0.06683979258643667
1800,0.0042755,2995.0,0.41402337228714525,4.668894257002085e+16,0.06684856525207336
1801,0.0078472,3000.0,0.41333333333333333,8.612220343392302e+16,0.0668558968412128
